薬品ｺｰﾄﾞ,ﾖﾐｶﾞﾅ,種,薬品名,規格,メーカー,棚番,薬価,購入価,在庫数,調整量,単位,①薬価金額,②購入金額,①－②,販売会社,厚生省ｺｰﾄﾞ,JAN
52149032F40247,ｱｰﾁｽﾄｼﾞ02,内,アーチスト錠２．５ｍｇ(ﾊﾞﾗ1錠),"",第一三共,カセット,16.6,16.6,449,0,錠,7453.4,7453.4,0,第一三共,2149032F4020,4987081163007;
52149032F10201,ｱｰﾁｽﾄｼﾞ10,内,アーチスト錠１０ｍｇ(PTP1錠),"",第一三共,茶,25.6,19.79,260,0,錠,6656,5145.4,1510.6,第一三共,2149032F1021,4987081202775;
51169001F10247,ｱｰﾃﾝｼﾞ02,内,アーテン錠（２ｍｇ）(ﾊﾞﾗ1錠),"",ファイザー,カセット,8.8,7.497,37,0,錠,325.6,277.389,48.211,ファイザー,1169001F1024,4987114554604;
54291059F10201,ｱｰﾘｰﾀﾞ06,内,アーリーダ錠６０ｍｇ(PTP1錠),"",ヤンセンファーマ,抗癌剤（１）,2290.1,2052.375,24,0,錠,54962.4,49257,5705.4,ヤンセンファーマ,4291059F1029,4987672580466;
52171023F20202,ｱｲﾄﾛｰﾙ02,内,アイトロール錠２０ｍｇ(PTP1錠),"",トーアエイヨー,茶,11,9.2974,96,0,錠,1056,892.5504,163.4496,トーアエイヨー,2171023F2020,4987142291212;
52171023F20248,ｱｲﾄﾛｰﾙ02,内,アイトロール錠２０ｍｇ(ﾊﾞﾗ1錠),"",トーアエイヨー,カセット,11,11,725,0,錠,7975,7975,0,トーアエイヨー,2171023F2020,4987142291236;
54490016M10201,ｱｲﾋﾟｰﾃﾞ05,内,アイピーディカプセル５０　５０ｍｇ(PTP1Ｃ),"",大鵬薬品,"",21.9,0,0,0,Ｃ,0,0,0,大鵬薬品,4490016M1023,4987117110128;
54490016R10247,ｱｲﾋﾟｰﾃﾞﾄﾞ,内,アイピーディドライシロップ５％(ﾊﾞﾗ1ｇ),"",大鵬薬品,散剤引出し,35.7,27.18,88.8,0,ｇ,3170.16,2413.584,756.576,大鵬薬品,4490016R1020,4987117110234;4987117110241;
61319761Q10201,ｱｲﾌｧｶﾞﾝﾃ0,外,アイファガン点眼液０．１％(本5mL),"",千寿製薬,茶点眼,346.1,292.44,35,0,mL,12113.5,10235.4,1878.1,武田薬品,1319761Q1023,4987123154642;
52149118F20202,ｱｲﾐｸｽｴｲﾁ,内,アイミクス配合錠ＨＤ(PTP1錠),"",住友ファーマ,茶劇,86.5,64.92,121,0,錠,10466.5,7855.32,2611.18,住友ファーマ,2149118F2026,4987116140133;
52149118F10202,ｱｲﾐｸｽｴﾙ,内,アイミクス配合錠ＬＤ(PTP1錠),"",住友ファーマ,下劇,77.9,62.36,81,0,錠,6309.9,5051.16,1258.74,住友ファーマ,2149118F1020,4987116140096;
61319825Q10201,ｱｲﾗﾐﾄﾞﾃ,外,アイラミド配合懸濁性点眼液(本5mL),"",千寿製薬,下点眼,476.6,413,0,0,mL,0,0,0,武田薬品,1319825Q1025,4987123000949;4987123000956;
62649710M20947,ｱｴﾝｶ01,外,亜鉛華（１０％）単軟膏「ヨシダ」(ﾊﾞﾗ1ｇ),"",吉田製薬,軟膏棚,1.95,0,0,0,ｇ,0,0,0,吉田製薬,2649710M2092,4987288731252;
62649704M11847,ｱｴﾝｶﾅﾝｺ,外,亜鉛華軟膏「ヨシダ」(ﾊﾞﾗ1ｇ),"",吉田製薬,軟膏棚,2.29,2.28,50,0,ｇ,114.5,114,0.5,吉田製薬,2649704M1180,4987288730255;
62639700N10301,ｱｸｱﾁﾑｸﾘ01,外,アクアチムクリーム１％(ﾁｭｰﾌﾞ10ｇ),"",大塚製薬,外用茶,26.6,20,20,0,ｇ,532,400,132,大塚製薬,2639700N1032,4987035018414;
62639700M10201,ｱｸｱﾁﾑﾅ01,外,アクアチム軟膏１％(ﾁｭｰﾌﾞ10ｇ),"",大塚製薬,外用下,26.6,34.9,10,0,ｇ,266,349,-83,大塚製薬,2639700M1029,4987035015512;
76399421G20201,ｱｸﾃﾑﾗﾋ16,注,アクテムラ皮下注１６２ｍｇオートインジェクター　０．９ｍＬ(ｷｯﾄ1ｷｯﾄ),"",中外製薬,冷蔵庫上,32608,29165,2,0,ｷｯﾄ,65216,58330,6886,中外製薬,6399421G2029,4987136119409;
62699703M10302,ｱｸﾄｼﾝﾅ,外,アクトシン軟膏３％(ﾁｭｰﾌﾞ30ｇ),"",ニプロファーマ,冷蔵庫ドア,38.1,28.8667,40,0,ｇ,1524,1154.668,369.332,マルホ,2699703M1039,4987213109101;
